,url,product_name,brands,countries,image_url,image_small_url,energy-kcal_100g,fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,categories_tags
546060,http://world-en.openfoodfacts.org/product/20145880/%D1%87%D0%B5%D1%81%D0%BD%D0%BE%D0%B2-%D1%81%D0%BE%D1%81-lidl,Чеснов сос,Lidl,Polska,https://images.openfoodfacts.org/images/products/20145880/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/20145880/front_pl.4.200.jpg,384.0,38.0,8.3,6.4,0.9,1.49,"en:groceries,en:sauces,pl:sosy-czosnkowe"
546173,http://world-en.openfoodfacts.org/product/20149307/kabanosy-klasyczne-drobiowe-z-dodatkiem-wieprzowiny-pikok,Kabanosy klasyczne drobiowe z dodatkiem wieprzowiny,"Pikok,Tarczyński",Polska,https://images.openfoodfacts.org/images/products/20149307/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/20149307/front_pl.4.200.jpg,428.0,35.0,6.4,2.3,21.0,3.1,"en:meat-based-products,en:polish-meat-products,pl:kabanosy"
546179,http://world-en.openfoodfacts.org/product/20149642/bu%C5%82ka-tarta-lidl,Bułka tarta,Lidl,Polska,https://images.openfoodfacts.org/images/products/20149642/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/20149642/front_pl.4.200.jpg,355.0,1.2,71.0,5.8,12.5,0.8,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:bread-crumbs"
547740,http://world-en.openfoodfacts.org/product/20187071/piecze%C5%84-z-mielonego-mi%C4%99sa-wieprzowo-drobiowowego-z-kminkiem-pikok,Pieczeń z mielonego mięsa wieprzowo - drobiowowego z kminkiem,Pikok,Polska,https://images.openfoodfacts.org/images/products/20187071/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/20187071/front_pl.4.200.jpg,234.0,17.0,9.5,0.5,10.8,1.7,pl:mięso-mielone
549273,http://world-en.openfoodfacts.org/product/20207786/ser-gouda-pilos,Ser Gouda,"Pilos,Lidl",Polska,https://images.openfoodfacts.org/images/products/20207786/front_pl.8.400.jpg,https://images.openfoodfacts.org/images/products/20207786/front_pl.8.200.jpg,366.0,26.0,1.5,0.0,24.0,1.5,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses"
549708,http://world-en.openfoodfacts.org/product/20218225/lody-%C5%9Bmietanka-z-czekolad%C4%85-lidl,Lody śmietanka z czekoladą,"Lidl,Ballino",Poland,https://images.openfoodfacts.org/images/products/20218225/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/20218225/front_pl.4.200.jpg,169.0,7.0,23.1,21.4,2.9,0.08,"en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams"
549999,http://world-en.openfoodfacts.org/product/20224806/leckerrom-grilltaler-krauter-lacpol,Leckerrom Grilltaler Kräuter,"Lacpol,Lidl,Bluedino",Polska,https://images.openfoodfacts.org/images/products/20224806/front_pl.11.400.jpg,https://images.openfoodfacts.org/images/products/20224806/front_pl.11.200.jpg,334.0,25.5,4.5,1.0,21.0,1.6,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,pl:sery-topione"
552098,http://world-en.openfoodfacts.org/product/20270797/cukier-waniliowy-belbake,Cukier waniliowy,Belbake,Polska,https://images.openfoodfacts.org/images/products/20270797/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/20270797/front_pl.4.200.jpg,397.0,0.0,99.3,99.3,0.0,0.0,pl:cukier-waniliowy
552579,http://world-en.openfoodfacts.org/product/20288723/t%C5%82uszcz-ro%C5%9Blinny-do-smarowania-20-lidl,Tłuszcz roślinny do smarowania 20%,Lidl,Polska,https://images.openfoodfacts.org/images/products/20288723/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/20288723/front_pl.4.200.jpg,180.0,20.0,0.0,0.0,0.0,1.0,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fats,en:spreads,en:salted-spreads,en:spreadable-fats,en:vegetable-fats,en:plant-based-spreads,en:margarines,pl:do-smarowania"
552695,http://world-en.openfoodfacts.org/product/2029165040797/%C5%9Bliwki-suszone-bez-pestek-bakalike,Śliwki suszone bez pestek,BakaLike,Polska,https://images.openfoodfacts.org/images/products/202/916/504/0797/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/202/916/504/0797/front_pl.4.200.jpg,282.0,1.2,60.0,20.0,3.5,0.03,pl:śliwki-suszone
554614,http://world-en.openfoodfacts.org/product/2030599000004/bagietka-fitnes-carrefour,Bagietka Fitnes,Carrefour,Poland,https://images.openfoodfacts.org/images/products/203/059/900/0004/front_en.4.400.jpg,https://images.openfoodfacts.org/images/products/203/059/900/0004/front_en.4.200.jpg,287.0,5.1,47.0,2.1,10.0,1.2,
554719,http://world-en.openfoodfacts.org/product/20310196/prosciutto-dulano,Prosciutto,Dulano,Polska,https://images.openfoodfacts.org/images/products/20310196/front_fr.3.400.jpg,https://images.openfoodfacts.org/images/products/20310196/front_fr.3.200.jpg,225.0,13.0,0.5,0.5,28.0,5.0,"en:meats,en:prepared-meats,en:hams"
554999,http://world-en.openfoodfacts.org/product/20325770/jaja-%C5%9Bwie%C5%BCe-z%C5%82ota-nioska,Jaja świeże,"Złota Nioska,Lidl,Aktiw",Poland,https://images.openfoodfacts.org/images/products/20325770/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/20325770/front_pl.4.200.jpg,139.0,9.7,0.6,0.0,12.5,0.4,"en:farming-products,en:eggs"
